timestamp,open,high,low,close,volume
2016-08-04,3.76,3.8,3.68,3.77,528.93987288
2016-08-05,3.83,3.83,3.61,3.61,49.2777173
2016-08-06,3.73,3.8,3.73,3.8,146.72227108
2016-08-07,3.79,3.83,3.73,3.73,91.13731893
2016-08-08,3.75,3.79,3.38,3.6,289.86194564
2016-08-09,3.72,3.8,3.68,3.68,159.88924078
2016-08-10,3.7,3.82,3.69,3.76,356.5978473
2016-08-11,3.7,3.78,3.58,3.78,1141.63725857
2016-08-12,3.76,3.93,3.67,3.67,1075.88253011
2016-08-13,3.68,3.76,3.66,3.66,2195.20719184
2016-08-14,3.64,3.68,3.59,3.6,160.77677564
2016-08-15,3.61,3.61,3.55,3.55,700.6015997
2016-08-16,3.56,3.68,3.55,3.63,311.52528807
2016-08-17,3.64,3.64,3.61,3.62,6.57077414
2016-08-18,3.64,3.66,3.58,3.58,179.82445775
2016-08-19,3.66,3.67,3.6,3.6,18.17157337
2016-08-20,3.6,3.64,3.6,3.62,45.190797
2016-08-21,3.64,3.68,3.61,3.61,304.37870453
2016-08-22,3.61,3.69,3.6,3.67,1420.03138057
2016-08-23,3.64,4.04,3.64,4.0,1197.84213822
2016-08-24,4.0,4.0,3.86,3.97,139.60517441
2016-08-25,3.86,3.97,3.71,3.77,473.4997398
2016-08-26,3.82,3.85,3.79,3.79,40.39823978
2016-08-27,3.81,3.81,3.72,3.72,68.22353399
2016-08-28,3.78,3.78,3.72,3.72,64.94862385
2016-08-29,3.82,3.83,3.38,3.81,4432.87894966
2016-08-30,3.74,3.79,3.73,3.79,3863.05573699
2016-08-31,3.79,3.79,3.61,3.65,492.19900009
2016-09-01,3.8,3.97,3.79,3.85,467.64632754
2016-09-02,3.84,3.85,3.76,3.85,162.862037
2016-09-03,3.85,3.9,3.77,3.9,276.37811403
2016-09-04,3.93,4.04,3.87,3.98,473.20029358
2016-09-05,4.02,4.02,3.92,3.92,14.59087
2016-09-06,3.92,3.99,3.91,3.97,677.59254521
2016-09-07,3.97,4.04,3.93,4.04,451.51744004
2016-09-08,4.01,4.03,3.95,4.03,104.2325005
2016-09-09,3.98,3.98,3.94,3.94,121.78894485
2016-09-10,3.94,3.94,3.94,3.94,0.0
2016-09-11,4.0,4.04,3.9,3.93,128.97891018
2016-09-12,3.82,3.91,3.77,3.81,238.12753175
2016-09-13,3.85,3.89,3.79,3.89,80.50015744
2016-09-14,3.87,3.88,3.81,3.85,440.89111203
2016-09-15,3.81,3.87,3.81,3.87,27.3
2016-09-16,3.83,3.83,3.8,3.81,595.31203133
2016-09-17,3.86,3.86,3.8,3.85,20.28796117
2016-09-18,3.85,4.02,3.78,3.86,371.06458447
2016-09-19,3.83,3.85,3.8,3.82,369.02406448
2016-09-20,3.82,3.84,3.72,3.72,513.19687742
2016-09-21,3.73,3.82,3.72,3.76,1210.23494945
2016-09-22,3.82,3.82,3.73,3.76,161.92101412
2016-09-23,3.76,3.82,3.72,3.82,221.59714986
2016-09-24,3.73,3.84,3.73,3.83,3.52930111
2016-09-25,3.73,3.73,3.73,3.73,57.4
2016-09-26,3.77,3.91,3.77,3.84,676.53823212
2016-09-27,3.89,3.9,3.84,3.84,275.8051035
2016-09-28,3.84,3.88,3.82,3.84,981.67679968
2016-09-29,3.85,3.88,3.83,3.88,752.92723219
2016-09-30,3.86,3.88,3.77,3.83,528.42199253
2016-10-01,3.84,3.88,3.84,3.86,223.48605005
2016-10-02,3.82,3.86,3.82,3.86,18.33824528
2016-10-03,3.83,3.85,3.82,3.83,116.83980937
2016-10-04,3.83,3.86,3.82,3.83,2847.52790422
2016-10-05,3.84,3.88,3.77,3.86,874.77499348
2016-10-06,3.79,3.85,3.79,3.83,446.98492643
2016-10-07,3.83,3.86,3.82,3.85,434.56467287
2016-10-08,3.86,3.88,3.84,3.85,705.71771512
2016-10-09,3.82,3.85,3.78,3.81,888.96359987
2016-10-10,3.8,3.81,3.78,3.78,82.01184388
2016-10-11,3.8,3.85,3.79,3.82,532.31560621
2016-10-12,3.87,3.87,3.77,3.8,210.46475902
2016-10-13,3.84,3.93,3.84,3.91,26.54768119
2016-10-14,3.9,3.93,3.87,3.92,319.63525223
2016-10-15,3.92,3.92,3.84,3.84,30.012788
2016-10-16,3.9,3.92,3.85,3.92,63.5808171
2016-10-17,3.87,3.89,3.84,3.84,148.7572827
2016-10-18,3.84,3.87,3.81,3.81,489.58421853
2016-10-19,3.8,3.83,3.75,3.8,400.66906836
2016-10-20,3.8,3.8,3.75,3.77,383.8266156
2016-10-21,3.8,3.8,3.76,3.8,138.77311051
2016-10-22,3.85,3.93,3.85,3.9,238.04712138
2016-10-23,3.91,3.92,3.87,3.9,4562.10516697
2016-10-24,3.91,3.91,3.84,3.84,195.33648
2016-10-25,3.88,3.93,3.84,3.86,676.00197032
2016-10-26,3.85,3.98,3.85,3.95,199.91166552
2016-10-27,3.97,4.15,3.92,3.94,676.43783058
2016-10-28,3.84,3.95,3.84,3.94,1279.983364
2016-10-29,3.94,4.08,3.84,4.02,2068.08425805
2016-10-30,4.0,4.04,3.98,4.04,60.99089829
