Date,AAPL,IBM,KO
1981-10-05,0.249292,5.89285,0.285713
1981-10-06,0.247459,5.799315,0.285713
1981-10-07,0.26212399999999997,5.879491000000001,0.294929
1981-10-08,0.271289,5.932938,0.296977
1981-10-09,0.273122,5.973028,0.292881
1981-10-12,0.282287,5.932938,0.294929
1981-10-13,0.282287,5.745864,0.292881
1981-10-14,0.26579,5.612241,0.28468899999999997
1981-10-15,0.271289,5.585516,0.285713
1981-10-16,0.26762199999999997,5.478613,0.283665
1981-10-19,0.273122,5.478613,0.279568
1981-10-20,0.287786,5.518706,0.27752
1981-10-21,0.287786,5.491976999999999,0.2724
1981-10-22,0.285953,5.4652519999999996,0.280593
1981-10-23,0.278621,5.451894,0.281616
1981-10-26,0.278621,5.4118059999999995,0.280593
1981-10-27,0.28412,5.425169,0.288785
1981-10-28,0.293285,5.291543,0.294929
1981-10-29,0.289619,5.238092,0.295953
1981-10-30,0.293285,5.505342,0.302098
1981-11-02,0.293285,5.665690000000001,0.299025
1981-11-03,0.289619,5.665690000000001,0.299025
1981-11-04,0.282287,5.691227,0.290833
1981-11-05,0.26212399999999997,5.596148,0.285713
1981-11-06,0.26395599999999997,5.528232,0.288785
1981-11-09,0.26762199999999997,5.60973,0.28980900000000004
1981-11-10,0.269455,5.6776480000000005,0.290833
1981-11-11,0.27678800000000003,5.704812,0.290833
1981-11-12,0.285953,5.731976,0.290833
1981-11-13,0.26579,5.60973,0.285713
1981-11-16,0.26212399999999997,5.541816000000001,0.278544
1981-11-17,0.26762199999999997,5.541816000000001,0.27752
1981-11-18,0.27678800000000003,5.473898999999999,0.27752
1981-11-19,0.27678800000000003,5.473898999999999,0.281616
1981-11-20,0.278621,5.501067,0.28673699999999996
1981-11-23,0.26579,5.487483,0.290833
1981-11-24,0.26395599999999997,5.6776480000000005,0.290457
1981-11-25,0.269455,5.71839,0.294621
1981-11-27,0.27678800000000003,5.92214,0.295662
1981-11-30,0.273122,5.92214,0.296703
1981-12-01,0.273122,5.881385,0.297744
1981-12-02,0.274955,5.759144,0.29358
1981-12-03,0.271289,5.867805000000001,0.297744
1981-12-04,0.278621,5.9357169999999995,0.300867
1981-12-07,0.280454,5.813471,0.30190900000000004
1981-12-08,0.274955,5.786308,0.300867
1981-12-09,0.27678800000000003,5.854225,0.297744
1981-12-10,0.27678800000000003,5.9357169999999995,0.297744
1981-12-11,0.274955,5.9085540000000005,0.296703
1981-12-14,0.26579,5.799894,0.291498
1981-12-15,0.273122,5.827058,0.290457
1981-12-16,0.285953,5.881385,0.28733400000000003
1981-12-17,0.309782,6.057966,0.28629299999999996
